Distribution,Founder,Maintainer,Initial_Release_Year,Current_Stable_Version,Security_Updates,Release_Date,System_Distribution_Commitment,Forked_From,Target_Audience,Cost,Status
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,2009,11.1,?,2020-04-01,X,"Independent, inspired from Damn Small Linux",portable,None,Active
Trisquel GNU/Linux,Rubén Rodríguez Pérez (quidam),Rubén Rodríguez Pérez (quidam),2005,9.0[g 4],3 years,2020-10-16,100% Free: GNU FSDG[6],Ubuntu LTS,desktop,None,Active
TurnKey GNU/Linux,"Alon Swartz, Liraz Siri",TurnKey GNU/Linux Team,2008,16.0 Release #12[73],Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),2020-12-22,Debian Social Contract and DFSG,Debian,server based software appliance library aiming to balance security and ease of use,None,Active
Ubuntu and Derivatives[74],Canonical Ltd.,Canonical Ltd.,2004,21.10[75],"Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years. Ubuntu Pro 10 years.",2021-04-22,X,Debian,"general, server, desktop, supercomputer, IBM mainframe",None,Active
Univention Corporate Server,Univention GmbH,Univention GmbH,2004,4.4-7[76],"up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[77]",2020-12-01,X,Debian,"home, business, and school",Core Edition is free of charge,Active
Ututo,"Diego Saravia, Daniel Olivera",UTUTO dev team,2000,XS 2012,?,2012-04-27,100% Free: GNU FSDG[6],"Ututo XS: Gentoo Linux, Ututo UL: Ubuntu",general,None,Inactive
VectorLinux,Robert S. Lange,dev team,1999,VL 7.2[78],?,2017-08-28,X,Slackware,desktop,None,Inactive
Void Linux,Juan Romero Pardines,Juan RP and contributors,2008,Rolling,Rolling,2019-11-09,X,"Independent, partially inspired by FreeBSD/NetBSD",general,None,Active
Webconverger,Kai Hendry,Webconverger Limited,2007,35.0,?,2016-05-19,X,Debian,"kiosk software, digital signage",Commercial,Inactive
Xandros,Xandros Incorporated,Xandros Incorporated,2001,?,?,2007-07-26,X,Corel Linux,?,Commercial,Inactive
Zentyal,eBox Technologies,eBox Technologies,2005,6.2[79],?,2020-06-04,X,"Debian, Ubuntu",small business server,Some editions are free of charge,?
Zenwalk,Jean-Philippe Guillemin,dev team,2004,Rolling[80],?,2020-12-10,X,Slackware,general,None,Active
Zorin OS,Zorin Group,Zorin Group,2009,OS 15.3[81],?,2020-10-08,X,Ubuntu,"general, desktop","Zorin OS Lite & Core are free, while Business and Ultimate are paid",Active
